instrumentation_library,service_name,traceId,spanId,operation,kind,duration,span_status,http.status_code,parent.service_name,parent.operation,parent.kind
io.opentelemetry.jdbc,team-service,216e44fde79ad26405a73dc1793745f0,1f3ac8b806ca2886,SELECT teamdb.team_member,3,982773,1,,team-service,SELECT meetingteam.teamservice.models.TeamMember,1.0
io.opentelemetry.jdbc,team-service,216e44fde79ad26405a73dc1793745f0,2d2fe172a4048374,SELECT teamdb.team_request,3,910752,1,,team-service,SELECT meetingteam.teamservice.models.TeamRequest,1.0
io.opentelemetry.spring-data-1.8,team-service,216e44fde79ad26405a73dc1793745f0,561b17fa58f6364b,TeamMemberRepository.findByTeamIdAndUserId,1,5210925,1,,team-service,GET /team-service/team-request/team/{teamId},2.0
io.opentelemetry.spring-data-1.8,team-service,216e44fde79ad26405a73dc1793745f0,72fd6e20000ccd7b,TeamRequestRepository.getTeamRequestMessages,1,3515850,1,,team-service,GET /team-service/team-request/team/{teamId},2.0
io.opentelemetry.java-http-client,team-service,216e44fde79ad26405a73dc1793745f0,1cfa7d02ebf3da23,POST,3,10293303,1,200,team-service,GET /team-service/team-request/team/{teamId},2.0
io.opentelemetry.tomcat-10.0,team-service,c69910fa9b16d6e5c4008dce688afca7,40fc15a92ca3a716,OPTIONS /team-service/team,2,3996255,1,200,,,
io.opentelemetry.hibernate-6.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,2d31db2cb01dec9d,Session.find meetingteam.teamservice.models.Team,1,7510270,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,09b7d52bc748fe37,Transaction.commit,1,1045742,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,ba17d58fe97ceccd,SELECT meetingteam.teamservice.models.TeamMember,1,1865338,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,3dda0873b054828a,Session.merge meetingteam.teamservice.models.Team,1,1591606,1,,,,
io.opentelemetry.hibernate-6.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,2c67d56ec510ef9b,Transaction.commit,1,11479492,1,,,,
io.opentelemetry.tomcat-10.0,team-service,c292ea02c1ed00cf0504377e53ed8f97,43c2a873c7e3e92f,PATCH /team-service/team,2,191941634,1,200,,,
io.opentelemetry.jdbc,team-service,c292ea02c1ed00cf0504377e53ed8f97,8770de417ad79a34,SELECT teamdb.team,3,809704,1,,team-service,Session.find meetingteam.teamservice.models.Team,1.0
